81,10.77,U' F B D B2 R2 L2 B' R L2 F2 U2 F' D2 B R2 U2 F U2 F2
82,8.04,F2 L2 B D2 B' D2 B L2 F' L2 R2 B' L' B F2 R2 D' F' D2 U R'
83,7.95,U' B2 R2 B L2 D2 U2 F' D2 U2 F' R D2 L B U' B' R2 F L'
84,8.84,F R D2 R F2 R2 D2 L' B2 F2 U2 R2 U B U R2 U' L2 R2 D'
85,9.37,F B2 U F2 L2 D2 B2 R2 F2 U' R2 U' B L2 F' L' D' F R' B L
86,8.21,F' D2 R2 U R2 B2 L2 F2 D' B2 U' R2 F R' D R B2 L' U2 F R
87,10.45,R2 U B2 D2 R2 U' B2 U L2 U F2 B' U B2 U' L' F' U R B' D'
88,7.97,U' F' R U2 D L' D' L' D L2 F2 U2 L2 D R2 B2 U' L2 D F
89,7.67,L B2 D2 L2 U2 L2 F2 D2 L B2 D' L F' D2 B2 L' F2 U'
90,8.98,D F B U L2 B' D R2 B' F2 L2 D2 L F2 R D2 R' D2 B2 R
91,8.01,R L2 U' D' R2 B' R' U2 B R2 U2 L2 U2 L2 F' U2 L2 D L2
92,8.44,L F2 R' F2 D B2 L2 D' R2 D2 U B2 L2 U2 R' B F R D U L
93,9.47,D' L' U2 L2 R2 U2 L2 D F2 U R2 B2 U2 B' U L R2 D L D2
94,8.89,D R2 D' L2 B2 R2 D' F2 D U2 B' D' L' R F2 D2 L' F' U L'
95,8.3,R2 B R2 L2 U F2 R D' L U2 B' D2 F2 U2 D2 F2 R2 B U2 L2 U
96,8.89,L B2 L U F D' F' R L D2 F R2 F R2 D2 B U2 R2 F B2
97,11.26,B U L' B U2 R2 U2 B R2 F' U2 B2 U2 B U R D2 B' L2 U R
98,7.28,D2 R' L' U' F2 U F2 L' F' R2 U2 D2 F2 L2 D2 F' B2 U2 F U2 D
99,10.67,D L U' R F2 B U F L F2 L2 F2 U2 D2 L2 F' U2 F L2
100,8.39,L D2 B2 R' B2 U R' U2 D2 F2 U2 R2 U2 R2 D2 B' R2 B2 R
101,7.88,R2 D L2 D L2 U R2 F2 D R2 U2 R D2 U L2 F R' B' L' U' R'
102,9.16,U B2 U F2 D' L2 B2 U F2 U2 F2 U2 L F' D' R' B' L' R F2 L2
103,7.47,L2 D2 F2 L U R B D2 B2 U F2 D L2 U2 D R2 L D'
